model_name,cost_weight,accuracy,precision,recall,f1_score,model_cost,oracle_cost,model_latency,oracle_latency,cold_correct,cold_to_warm,cold_to_hot,warm_to_cold,warm_correct,warm_to_hot,hot_to_cold,hot_to_warm,hot_correct
AHL,0.1,0.21418713212908463,0.046956049493706145,0.21418713212908463,0.07682344369419673,1749.4395515029385,847.9192936411212,390111.2,398957.6,0.0,0.0,33883.0,0.0,0.0,4834.0,0.0,0.0,10553.0
AWL,0.1,0.0981124416480617,0.00973638297548923,0.0981124416480617,0.017700784621729988,1659.2421263050499,847.9192936411212,780222.4,398957.6,0.0,33883.0,0.0,0.0,4834.0,0.0,0.0,10553.0,0.0
ACL,0.1,0.6877004262228537,0.47480494909049425,0.6877004262228537,0.5611976297241981,1106.3777455624509,847.9192936411212,1170333.6,398957.6,33883.0,0.0,0.0,4834.0,0.0,0.0,10553.0,0.0,0.0
SVMR,0.1,0.21418713212908463,0.046956049493706145,0.21418713212908463,0.07682344369419673,1749.4395515029385,847.9192936411212,390111.2,398957.6,0.0,0.0,33883.0,0.0,0.0,4834.0,0.0,0.0,10553.0
ONL,0.1,0.4457885122792774,0.6121850005683034,0.4457885122792774,0.4451860021218986,1503.883965345925,847.9192936411212,478519.2,398957.6,13233.0,1190.0,19460.0,1227.0,154.0,3453.0,1848.0,128.0,8577.0
LR,0.1,0.21418713212908463,0.046956049493706145,0.21418713212908463,0.07682344369419673,1749.4395515029385,847.9192936411212,390111.2,398957.6,0.0,0.0,33883.0,0.0,0.0,4834.0,0.0,0.0,10553.0
SVML,0.1,0.21418713212908463,0.046956049493706145,0.21418713212908463,0.07682344369419673,1749.4395515029385,847.9192936411212,390111.2,398957.6,0.0,0.0,33883.0,0.0,0.0,4834.0,0.0,0.0,10553.0
RF,0.1,0.2197483255530749,0.558014144139798,0.2197483255530749,0.10640809123384506,1725.8872711063586,847.9192936411212,406695.6,398957.6,538.0,1778.0,31567.0,65.0,327.0,4442.0,102.0,489.0,9962.0
DCT,0.1,0.20671808402679112,0.395563262128896,0.20671808402679112,0.12390366445947451,1712.8078867085171,847.9192936411212,483814.8,398957.6,1136.0,2150.0,30597.0,275.0,523.0,4036.0,828.0,1199.0,8526.0
KNN,0.1,0.43373249441851025,0.6533977525387742,0.43373249441851025,0.40883674776054785,1479.2789535043732,847.9192936411212,468520.8,398957.6,12731.0,5254.0,15898.0,1150.0,863.0,2821.0,1324.0,1453.0,7776.0
SV-Grid,0.1,0.21418713212908463,0.046956049493706145,0.21418713212908463,0.07682344369419673,1749.4395515029385,847.9192936411212,390111.2,398957.6,0.0,0.0,33883.0,0.0,0.0,4834.0,0.0,0.0,10553.0
HV,0.1,0.696062512685204,0.732943259121833,0.696062512685204,0.7077224588728475,1184.7673063035807,847.9192936411212,552980.0,398957.6,27295.0,4429.0,2159.0,2377.0,1306.0,1151.0,3152.0,1707.0,5694.0
SV,0.1,0.21418713212908463,0.046956049493706145,0.21418713212908463,0.07682344369419673,1749.4395515029385,847.9192936411212,390111.2,398957.6,0.0,0.0,33883.0,0.0,0.0,4834.0,0.0,0.0,10553.0
AHL,0.2,0.21418713212908463,0.046956049493706145,0.21418713212908463,0.07682344369419673,1749.4395515029385,847.9192936411212,390111.2,398957.6,0.0,0.0,33883.0,0.0,0.0,4834.0,0.0,0.0,10553.0
AWL,0.2,0.0981124416480617,0.00973638297548923,0.0981124416480617,0.017700784621729988,1659.2421263050499,847.9192936411212,780222.4,398957.6,0.0,33883.0,0.0,0.0,4834.0,0.0,0.0,10553.0,0.0
ACL,0.2,0.6877004262228537,0.47480494909049425,0.6877004262228537,0.5611976297241981,1106.3777455624509,847.9192936411212,1170333.6,398957.6,33883.0,0.0,0.0,4834.0,0.0,0.0,10553.0,0.0,0.0
SVMR,0.2,0.21418713212908463,0.046956049493706145,0.21418713212908463,0.07682344369419673,1749.4395515029385,847.9192936411212,390111.2,398957.6,0.0,0.0,33883.0,0.0,0.0,4834.0,0.0,0.0,10553.0
ONL,0.2,0.4457885122792774,0.6121850005683034,0.4457885122792774,0.4451860021218986,1503.883965345925,847.9192936411212,478519.2,398957.6,13233.0,1190.0,19460.0,1227.0,154.0,3453.0,1848.0,128.0,8577.0
LR,0.2,0.21418713212908463,0.046956049493706145,0.21418713212908463,0.07682344369419673,1749.4395515029385,847.9192936411212,390111.2,398957.6,0.0,0.0,33883.0,0.0,0.0,4834.0,0.0,0.0,10553.0
SVML,0.2,0.21418713212908463,0.046956049493706145,0.21418713212908463,0.07682344369419673,1749.4395515029385,847.9192936411212,390111.2,398957.6,0.0,0.0,33883.0,0.0,0.0,4834.0,0.0,0.0,10553.0
