model_name,cost_weight,accuracy,precision,recall,f1_score,model_cost,oracle_cost,model_latency,oracle_latency,cold_correct,cold_to_warm,cold_to_hot,warm_to_cold,warm_correct,warm_to_hot,hot_to_cold,hot_to_warm,hot_correct
AHL,0.0,0.21418713212908463,0.046956049493706145,0.21418713212908463,0.07682344369419673,17463.841779201455,636.5473848000292,390111.2,398957.6,0.0,0.0,33883.0,0.0,0.0,4834.0,0.0,0.0,10553.0
AWL,0.0,0.0981124416480617,0.00973638297548923,0.0981124416480617,0.017700784621729988,45186.75333600136,636.5473848000292,780222.4,398957.6,0.0,33883.0,0.0,0.0,4834.0,0.0,0.0,10553.0,0.0
ACL,0.0,0.6877004262228537,0.47480494909049425,0.6877004262228537,0.5611976297241981,30992.53611599794,636.5473848000292,1170333.6,398957.6,33883.0,0.0,0.0,4834.0,0.0,0.0,10553.0,0.0,0.0
SVMR,0.0,0.21418713212908463,0.046956049493706145,0.21418713212908463,0.07682344369419673,17463.841779201455,636.5473848000292,390111.2,398957.6,0.0,0.0,33883.0,0.0,0.0,4834.0,0.0,0.0,10553.0
ONL,0.0,0.7216155875786482,0.7101200150691401,0.7216155875786482,0.7103310230718531,16592.016462398526,636.5473848000292,527612.8,398957.6,28201.0,1498.0,4184.0,2579.0,439.0,1816.0,3200.0,439.0,6914.0
LR,0.0,0.21418713212908463,0.046956049493706145,0.21418713212908463,0.07682344369419673,17463.841779201455,636.5473848000292,390111.2,398957.6,0.0,0.0,33883.0,0.0,0.0,4834.0,0.0,0.0,10553.0
SVML,0.0,0.21418713212908463,0.046956049493706145,0.21418713212908463,0.07682344369419673,17463.841779201455,636.5473848000292,390111.2,398957.6,0.0,0.0,33883.0,0.0,0.0,4834.0,0.0,0.0,10553.0
RF,0.0,0.21349705703267707,0.6170759920870974,0.21349705703267707,0.08096532752799365,17748.49087480145,636.5473848000292,393625.6,398957.6,44.0,281.0,33558.0,7.0,77.0,4750.0,13.0,142.0,10398.0
DCT,0.0,0.1979703673635072,0.3155644575998324,0.1979703673635072,0.09760885242824177,20061.52288400149,636.5473848000292,474118.8,398957.6,493.0,715.0,32675.0,187.0,335.0,4312.0,671.0,956.0,8926.0
KNN,0.0,0.4944388065760097,0.6242693633698119,0.4944388065760097,0.4517108142069152,18025.806862799756,636.5473848000292,488854.4,398957.6,16103.0,2126.0,15654.0,1314.0,577.0,2943.0,1768.0,1104.0,7681.0
SV-Grid,0.0,0.21418713212908463,0.046956049493706145,0.21418713212908463,0.07682344369419673,17463.841779201455,636.5473848000292,390111.2,398957.6,0.0,0.0,33883.0,0.0,0.0,4834.0,0.0,0.0,10553.0
HV,0.0,0.688451390298356,0.7310742496772902,0.688451390298356,0.7024174769886681,19774.80200639824,636.5473848000292,569568.0,398957.6,27078.0,4875.0,1930.0,2402.0,1396.0,1036.0,3203.0,1904.0,5446.0
SV,0.0,0.21418713212908463,0.046956049493706145,0.21418713212908463,0.07682344369419673,17463.841779201455,636.5473848000292,390111.2,398957.6,0.0,0.0,33883.0,0.0,0.0,4834.0,0.0,0.0,10553.0
AHL,0.1,0.21418713212908463,0.046956049493706145,0.21418713212908463,0.07682344369419673,17463.841779201455,636.5473848000292,390111.2,398957.6,0.0,0.0,33883.0,0.0,0.0,4834.0,0.0,0.0,10553.0
AWL,0.1,0.0981124416480617,0.00973638297548923,0.0981124416480617,0.017700784621729988,45186.75333600136,636.5473848000292,780222.4,398957.6,0.0,33883.0,0.0,0.0,4834.0,0.0,0.0,10553.0,0.0
