pop,model_name,cost_weight,model_cost,model_latency,accuracy,f1_score,recall,rcs
HV,HV,0.1,1454.3092457471814,520291.2,0.7079154626324438,0.7280479487595063,0.7079154626324438,15.760919182190522
RF,RF,0.1,2058.896611265417,411369.2,0.2107201541163804,0.1156202870093807,0.2107201541163804,-19.25906304940898
KNN,KNN,0.1,1696.101955458143,487684.4,0.5286985098305852,0.5329216742191463,0.5286985098305852,1.7553727868403664
LR,LR,0.1,2110.4423212441,401169.6,0.1936370332596747,0.0636697206774224,0.1936370332596747,-22.244785131148742
ONL,ONL,0.1,1726.406831162523,467208.8,0.5209360303699926,0.5258627988164726,0.5209360303699926,0.0
RF,RF,0.2,1946.561036956968,441416.4,0.2199841350784747,0.1671504860510313,0.2199841350784747,-12.752162573765895
SV,SV,0.3,1892.8654425562504,452841.2,0.196781687347725,0.151754976697779,0.196781687347725,-10.064850026989761
RF,RF,0.3,1815.3590620939497,466156.8,0.2672955974842767,0.2651417043760177,0.2672955974842767,-5.558070015095477
SV-Grid,SV-Grid,0.4,1848.3253697294176,455541.2,0.2282848886622471,0.2025986361202814,0.2282848886622471,-7.474968926272868
SV,SV,0.5,1591.6979778132802,501204.8,0.5175080741118477,0.5590008450987044,0.5175080741118477,7.4471986874600935
SV,SV,0.7,1420.0000158831251,549458.0,0.711428409541617,0.723963617396622,0.711428409541617,17.430956647699112
KNN,KNN,0.7,1414.8001164505772,562859.2,0.7537537537537538,0.7467907405689471,0.7537537537537538,17.73331630746759
SV,SV,0.8,1388.937590001876,581719.6,0.7471244829735396,0.7360271702037352,0.7471244829735396,18.839845413172817
LR,LR,0.8,1365.1651474855114,611529.6,0.7490226075131735,0.7106330837443091,0.7490226075131735,20.22894678347414
LR,LR,0.9,1343.3194014869696,630622.8,0.7585698906453623,0.708305170483,0.7585698906453623,21.505464990677257
LR,LR,1.0,1334.3373727228904,648292.0,0.7655391240296902,0.7071826074049437,0.7655391240296902,22.030314233899915
