,,model_cost,model_cost,model_latency,model_latency,accuracy,accuracy,f1_score,f1_score,recall,recall,rcs,rcs
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_name,cost_weight,,,,,,,,,,,,
ACL,0.1,1594.6337,,1203508.8,,0.7317,,0.6188,,0.7317,,7.6328,
ACL,0.2,1594.6337,,1203508.8,,0.7317,,0.6188,,0.7317,,7.6328,
ACL,0.3,1594.6337,,1203508.8,,0.7317,,0.6188,,0.7317,,7.2765,
ACL,0.4,1594.6337,,1203508.8,,0.7317,,0.6188,,0.7317,,7.2765,
ACL,0.5,1594.6337,,1203508.8,,0.7317,,0.6188,,0.7317,,7.2765,
ACL,0.6,1594.6337,,1203508.8,,0.7317,,0.6188,,0.7317,,7.2765,
ACL,0.7,1594.6337,,1203508.8,,0.7317,,0.6188,,0.7317,,7.2765,
ACL,0.8,1594.6337,,1203508.8,,0.7317,,0.6188,,0.7317,,6.8204,
ACL,0.9,1594.6337,,1203508.8,,0.7317,,0.6188,,0.7317,,6.8204,
ACL,1.0,1594.6337,,1203508.8,,0.7317,,0.6188,,0.7317,,6.8204,
AHL,0.1,2110.8383,,401169.6,,0.1936,,0.0636,,0.1936,,-22.2677,
AHL,0.2,2110.8383,,401169.6,,0.1936,,0.0636,,0.1936,,-22.2677,
AHL,0.3,2110.8383,,401169.6,,0.1936,,0.0636,,0.1936,,-22.7394,
AHL,0.4,2110.8383,,401169.6,,0.1936,,0.0636,,0.1936,,-22.7394,
AHL,0.5,2110.8383,,401169.6,,0.1936,,0.0636,,0.1936,,-22.7394,
AHL,0.6,2110.8383,,401169.6,,0.1936,,0.0636,,0.1936,,-22.7394,
AHL,0.7,2110.8383,,401169.6,,0.1936,,0.0636,,0.1936,,-22.7394,
AHL,0.8,2110.8383,,401169.6,,0.1936,,0.0636,,0.1936,,-23.3432,
AHL,0.9,2110.8383,,401169.6,,0.1936,,0.0636,,0.1936,,-23.3432,
AHL,1.0,2110.8383,,401169.6,,0.1936,,0.0636,,0.1936,,-23.3432,
AWL,0.1,2184.7703,,802339.2,,0.0747,,0.0106,,0.0747,,-26.5501,
AWL,0.2,2184.7703,,802339.2,,0.0747,,0.0106,,0.0747,,-26.5501,
AWL,0.3,2184.7703,,802339.2,,0.0747,,0.0106,,0.0747,,-27.0383,
AWL,0.4,2184.7703,,802339.2,,0.0747,,0.0106,,0.0747,,-27.0383,
AWL,0.5,2184.7703,,802339.2,,0.0747,,0.0106,,0.0747,,-27.0383,
AWL,0.6,2184.7703,,802339.2,,0.0747,,0.0106,,0.0747,,-27.0383,
AWL,0.7,2184.7703,,802339.2,,0.0747,,0.0106,,0.0747,,-27.0383,
AWL,0.8,2184.7703,,802339.2,,0.0747,,0.0106,,0.0747,,-27.6633,
