pop,model_name,cost_weight,model_cost,model_latency,accuracy,f1_score,recall,rcs
AHL,AHL,0.2,2110.8382765730075,401169.6,0.1936087030426653,0.0636115574628486,0.1936087030426653,-22.267720358336227
SV,SV,0.2,2071.048813911514,407034.4,0.1996430392656807,0.0852070885566676,0.1996430392656807,-19.96296449527583
HV,HV,0.2,1454.3092457471814,520291.2,0.7079154626324438,0.7280479487595063,0.7079154626324438,15.760919182190522
RF,RF,0.2,1946.561036956968,441416.4,0.2199841350784747,0.1671504860510313,0.2199841350784747,-12.752162573765895
KNN,KNN,0.2,1696.101955458143,487684.4,0.5286985098305852,0.5329216742191463,0.5286985098305852,1.7553727868403664
ONL,ONL,0.2,1726.406831162523,467208.8,0.5209360303699926,0.5258627988164726,0.5209360303699926,0.0
SV,SV,0.5,1591.6979778132802,501204.8,0.5175080741118477,0.5590008450987044,0.5175080741118477,7.4471986874600935
SV-Grid,SV-Grid,0.5,1831.4841154014437,463478.8,0.2364439911609722,0.2199602560339286,0.2364439911609722,-6.4956969240477225
KNN,KNN,0.8,1414.8001164505772,562859.2,0.7537537537537538,0.7467907405689471,0.7537537537537538,17.328613620116045
LR,LR,0.8,1365.1651474855114,611529.6,0.7490226075131735,0.7106330837443091,0.7490226075131735,20.22894678347414
SV,SV,0.8,1388.937590001876,581719.6,0.7471244829735396,0.7360271702037352,0.7471244829735396,18.839845413172817
