model_name,cost_weight,accuracy,precision,recall,f1_score,model_cost,oracle_cost,model_latency,oracle_latency,cold_correct,cold_to_warm,cold_to_hot,warm_to_cold,warm_correct,warm_to_hot,hot_to_cold,hot_to_warm,hot_correct
AHL,0.1,0.1936087030426653,0.03814495414853338,0.1936087030426653,0.06361155746284868,2110.8382765730075,1156.3944558956407,401169.6,405977.6,0.0,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0
AWL,0.1,0.07470678225395205,0.005685510493896667,0.07470678225395205,0.010555649343148161,2184.770327738542,1156.3944558956407,802339.2,405977.6,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0,0.0
ACL,0.1,0.7316845147033826,0.536563280010982,0.7316845147033826,0.6187635149452234,1594.6336903518416,1156.3944558956407,1203508.8,405977.6,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0,0.0,0.0
SVMR,0.1,0.1936087030426653,0.03814495414853338,0.1936087030426653,0.06361155746284868,2110.8382765730075,1156.3944558956407,401169.6,405977.6,0.0,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0
ONL,0.1,0.5209360303699926,0.6825428884650862,0.5209360303699926,0.5258627988164726,1726.406831162523,1156.3944558956407,467208.8,405977.6,12821.0,629.0,12377.0,825.0,85.0,1727.0,1249.0,103.0,5482.0
LR,0.1,0.19363703325967477,0.11758397207010256,0.19363703325967477,0.06366972067742244,2110.4423212440997,1156.3944558956407,401169.6,405977.6,1.0,0.0,25826.0,0.0,0.0,2637.0,0.0,0.0,6834.0
SVML,0.1,0.1936087030426653,0.03814495414853338,0.1936087030426653,0.06361155746284868,2110.8382765730075,1156.3944558956407,401169.6,405977.6,0.0,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0
RF,0.1,0.21072015411638048,0.5889816816102657,0.21072015411638048,0.11562028700938079,2058.8966112654175,1156.3944558956407,411369.2,405977.6,779.0,3245.0,21803.0,104.0,278.0,2255.0,122.0,331.0,6381.0
DCT,0.1,0.2059323474417814,0.45153951869843795,0.2059323474417814,0.14509301652537174,2033.1944705106778,1156.3944558956407,469318.8,405977.6,1527.0,3031.0,21269.0,340.0,405.0,1892.0,724.0,773.0,5337.0
KNN,0.1,0.5286985098305852,0.7141239780762494,0.5286985098305852,0.5329216742191463,1696.101955458143,1156.3944558956407,487684.4,405977.6,13406.0,2484.0,9937.0,981.0,401.0,1255.0,1298.0,681.0,4855.0
SV-Grid,0.1,0.1936087030426653,0.03814495414853338,0.1936087030426653,0.06361155746284868,2110.8382765730075,1156.3944558956407,401169.6,405977.6,0.0,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0
HV,0.1,0.7079154626324438,0.7692679320718666,0.7079154626324438,0.7280479487595063,1454.3092457471814,1156.3944558956407,520291.2,405977.6,20478.0,3740.0,1609.0,1390.0,603.0,644.0,1970.0,957.0,3907.0
SV,0.1,0.1936087030426653,0.03814495414853338,0.1936087030426653,0.06361155746284868,2110.8382765730075,1156.3944558956407,401169.6,405977.6,0.0,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0
AHL,0.2,0.1936087030426653,0.03814495414853338,0.1936087030426653,0.06361155746284868,2110.8382765730075,1156.3944558956407,401169.6,405977.6,0.0,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0
AWL,0.2,0.07470678225395205,0.005685510493896667,0.07470678225395205,0.010555649343148161,2184.770327738542,1156.3944558956407,802339.2,405977.6,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0,0.0
ACL,0.2,0.7316845147033826,0.536563280010982,0.7316845147033826,0.6187635149452234,1594.6336903518416,1156.3944558956407,1203508.8,405977.6,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0,0.0,0.0
SVMR,0.2,0.19207887132415435,0.04155281223932005,0.19207887132415435,0.06731316401839445,2093.68707223453,1156.3944558956407,404918.4,405977.6,0.0,1673.0,24154.0,0.0,140.0,2497.0,0.0,194.0,6640.0
ONL,0.2,0.5209360303699926,0.6825428884650862,0.5209360303699926,0.5258627988164726,1726.406831162523,1156.3944558956407,467208.8,405977.6,12821.0,629.0,12377.0,825.0,85.0,1727.0,1249.0,103.0,5482.0
LR,0.2,0.1928437871834098,0.11974219589135017,0.1928437871834098,0.06629572755115588,2101.4243303586063,1156.3944558956407,403806.4,405977.6,1.0,1152.0,24674.0,0.0,103.0,2534.0,0.0,131.0,6703.0
SVML,0.2,0.1936087030426653,0.03814495414853338,0.1936087030426653,0.06361155746284868,2110.8382765730075,1156.3944558956407,401169.6,405977.6,0.0,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0
RF,0.2,0.2199841350784747,0.6134896872459215,0.2199841350784747,0.16715048605103133,1946.5610369569679,1156.3944558956407,441416.4,405977.6,1425.0,11954.0,12448.0,176.0,917.0,1544.0,198.0,1213.0,5423.0
DCT,0.2,0.21199501388180633,0.49641759834926513,0.21199501388180633,0.18158749170278243,1923.6414449870133,1156.3944558956407,494302.8,405977.6,1976.0,12100.0,11751.0,376.0,997.0,1264.0,749.0,1575.0,4510.0
KNN,0.2,0.5286985098305852,0.7141239780762494,0.5286985098305852,0.5329216742191463,1696.101955458143,1156.3944558956407,487684.4,405977.6,13406.0,2484.0,9937.0,981.0,401.0,1255.0,1298.0,681.0,4855.0
SV-Grid,0.2,0.19188055980508814,0.044823621590409396,0.19188055980508814,0.07014766612575356,2085.8721137107955,1156.3944558956407,406191.2,405977.6,0.0,2524.0,23303.0,0.0,202.0,2435.0,0.0,263.0,6571.0
HV,0.2,0.7079154626324438,0.7692679320718666,0.7079154626324438,0.7280479487595063,1454.3092457471814,1156.3944558956407,520291.2,405977.6,20478.0,3740.0,1609.0,1390.0,603.0,644.0,1970.0,957.0,3907.0
SV,0.2,0.19964303926568075,0.4872228424892549,0.19964303926568075,0.08520708855666763,2071.048813911514,1156.3944558956407,407034.4,405977.6,185.0,4042.0,21600.0,12.0,335.0,2290.0,10.0,297.0,6527.0
AHL,0.3,0.1936087030426653,0.03814495414853338,0.1936087030426653,0.06361155746284868,2110.8382765730075,1156.3944558956407,401169.6,405977.6,0.0,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0
AWL,0.3,0.07470678225395205,0.005685510493896667,0.07470678225395205,0.010555649343148161,2184.770327738542,1156.3944558956407,802339.2,405977.6,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0,0.0
ACL,0.3,0.7316845147033826,0.536563280010982,0.7316845147033826,0.6187635149452234,1594.6336903518416,1156.3944558956407,1203508.8,405977.6,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0,0.0,0.0
SVMR,0.3,0.17935860388690578,0.08247850130417748,0.17935860388690578,0.10755493217357073,1929.4220598877357,1156.3944558956407,444727.2,405977.6,0.0,19451.0,6376.0,0.0,1416.0,1221.0,0.0,1919.0,4915.0
ONL,0.3,0.5179046971499802,0.6883980622252158,0.5179046971499802,0.5301671694092557,1719.7728812532682,1156.3944558956407,476456.0,405977.6,12821.0,1795.0,11211.0,825.0,247.0,1565.0,1249.0,372.0,5213.0
LR,0.3,0.17785710238540425,0.3587397836846489,0.17785710238540425,0.0947322247999032,1968.4807681338104,1156.3944558956407,444798.4,405977.6,8.0,15084.0,10735.0,2.0,1070.0,1565.0,1.0,1633.0,5200.0
SVML,0.3,0.17680888435605419,0.0947441442530417,0.17680888435605419,0.11003869723610689,1921.8588683583766,1156.3944558956407,449275.2,405977.6,0.0,19156.0,6671.0,0.0,1306.0,1331.0,0.0,1899.0,4935.0
RF,0.3,0.2672955974842767,0.6541051444808701,0.2672955974842767,0.26514170437601775,1815.3590620939497,1156.3944558956407,466156.8,405977.6,3619.0,18508.0,3700.0,348.0,1285.0,1004.0,432.0,1871.0,4531.0
DCT,0.3,0.260694656921072,0.5716147207956239,0.260694656921072,0.27347289445996076,1804.3745117452909,1156.3944558956407,517160.8,405977.6,4133.0,18576.0,3118.0,522.0,1341.0,774.0,943.0,2163.0,3728.0
KNN,0.3,0.5286985098305852,0.7141239780762494,0.5286985098305852,0.5329216742191463,1696.101955458143,1156.3944558956407,487684.4,405977.6,13406.0,2484.0,9937.0,981.0,401.0,1255.0,1298.0,681.0,4855.0
SV-Grid,0.3,0.17785710238540428,0.09062967047710695,0.17785710238540428,0.10941438017243167,1919.54786923031,1156.3944558956407,445636.0,405977.6,0.0,19684.0,6143.0,0.0,1456.0,1181.0,0.0,2012.0,4822.0
HV,0.3,0.7079154626324438,0.7692679320718666,0.7079154626324438,0.7280479487595063,1454.3092457471814,1156.3944558956407,520291.2,405977.6,20478.0,3740.0,1609.0,1390.0,603.0,644.0,1970.0,957.0,3907.0
SV,0.3,0.19678168734772508,0.6361662916944676,0.19678168734772508,0.15175497669777907,1892.8654425562504,1156.3944558956407,452841.2,405977.6,729.0,20118.0,4980.0,60.0,1395.0,1182.0,50.0,1962.0,4822.0
AHL,0.4,0.1936087030426653,0.03814495414853338,0.1936087030426653,0.06361155746284868,2110.8382765730075,1156.3944558956407,401169.6,405977.6,0.0,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0
