model_name,cost_weight,accuracy,precision,recall,f1_score,model_cost,oracle_cost,model_latency,oracle_latency,cold_correct,cold_to_warm,cold_to_hot,warm_to_cold,warm_correct,warm_to_hot,hot_to_cold,hot_to_warm,hot_correct
AHL,0.0,0.1936087030426653,0.03814495414853338,0.1936087030426653,0.06361155746284868,12803.93871360084,422.7196559999771,401169.6,405977.6,0.0,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0
AWL,0.0,0.07470678225395205,0.005685510493896667,0.07470678225395205,0.010555649343148161,33202.50508799888,422.7196559999771,802339.2,405977.6,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0,0.0
ACL,0.0,0.7316845147033826,0.536563280010982,0.7316845147033826,0.6187635149452234,19105.256327998537,422.7196559999771,1203508.8,405977.6,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0,0.0,0.0
SVMR,0.0,0.1936087030426653,0.03814495414853338,0.1936087030426653,0.06361155746284868,12803.93871360084,422.7196559999771,401169.6,405977.6,0.0,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0
ONL,0.0,0.7812623944699416,0.7653216423987301,0.7812623944699416,0.7681714126424336,9949.507267999215,422.7196559999771,508477.2,405977.6,22824.0,769.0,2234.0,1575.0,211.0,851.0,2067.0,225.0,4542.0
LR,0.0,0.19363703325967477,0.11758397207010256,0.19363703325967477,0.06366972067742244,12803.502713600841,422.7196559999771,401169.6,405977.6,1.0,0.0,25826.0,0.0,0.0,2637.0,0.0,0.0,6834.0
SVML,0.0,0.1936087030426653,0.03814495414853338,0.1936087030426653,0.06361155746284868,12803.93871360084,422.7196559999771,401169.6,405977.6,0.0,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0
RF,0.0,0.19261714544733413,0.4279500051991382,0.19261714544733413,0.06812739318792202,13062.86184440085,422.7196559999771,404130.8,405977.6,30.0,251.0,25546.0,6.0,71.0,2560.0,16.0,120.0,6698.0
DCT,0.0,0.17961357583999094,0.3243564777124083,0.17961357583999094,0.08266795255298656,14491.197326400894,422.7196559999771,470775.6,405977.6,329.0,556.0,24942.0,111.0,208.0,2318.0,424.0,607.0,5803.0
KNN,0.0,0.5554422346875179,0.6769417518085837,0.5554422346875179,0.5222567041503606,11799.86950399977,422.7196559999771,490319.2,405977.6,14494.0,938.0,10395.0,996.0,262.0,1379.0,1409.0,575.0,4850.0
